0.29,0.3,0.94,0.24,0.99,1.2,0.24,0.52,0.3,0.63,0.24,0.66,6,0.24,0.69,0.5,3.6,12.4,0.41,4.1,1.9,1.9,8.7,20,0.66,5.2,0.52,5,6.7,6.1,14,3,12.2,9.9,14.3,27.3,17,33.2,34.3,4.9,2.1,6.9,1.6,1.5,1.7,24.9,10.5,2,10.3,1.4,12.1,3.4,3.2,2.7,1.8,2.1
0.66,0.66,1.6,0.66,2.8,2.8,0.66,1.3,0.66,0.66,0.66,0.92,4,0.66,1.1,0.73,3,7.7,0.66,2.8,2,2,6.3,10.5,0.82,3.9,0.66,1.7,3.3,3.1,6,1.5,8.9,5.6,6.1,13.3,8.5,16.4,16.7,2.2,0.93,3.3,0.72,0.81,0.66,6.9,3.6,0.9,3.8,0.8,5.2,1.2,1.1,1.5,0.76,1.19
0.59,0.82,2.2,1.16,4.3,3.9,0.79,1.9,0.83,0.74,0.45,1.7,5.2,0.84,2,1.3,3.6,6.5,0.82,3.1,2.5,2.8,6.5,7.7,1.3,4.9,0.46,1.2,2,1.8,3,0.8,3.6,2.7,3.7,5.8,3.6,6.9,6.1,0.87,0.44,1.3,0.44,0.44,0.44,3.4,2.2,0.44,1.7,0.44,1.8,0.57,0.53,0.59,0.44,0.46
1.5,1.7,6.9,2.7,12.2,9.6,1.6,4.5,1.9,1.8,1.4,3.3,10.8,1.9,4.6,3.8,9.4,14.6,2,6.4,5.9,7.3,17.7,21.6,3.2,8.9,1.1,2.4,3.1,3.7,4.7,1.2,5.5,4.2,6.3,9,6.7,11,9.6,1.5,0.92,1.6,0.92,0.92,0.92,6,4.2,0.92,2.5,0.92,3.1,0.92,0.92,0.92,0.92,0.92
0.64,0.8,2.9,0.64,3.1,3.2,0.72,1.7,0.71,1.5,0.64,1.7,16.8,0.64,1.9,1.6,9,34.6,1.1,11.1,5.5,4.5,16,53,2,13.7,1.1,10.8,19.8,15.7,40.2,9.1,47.2,23.7,37.6,65.7,51,88.3,90.2,14.5,5.3,17.6,4.6,4.8,3.7,42.5,26.5,5.4,30.3,4.2,25.4,9.6,6.9,8.5,4.3,5.9
1.2,1.7,5.4,2.2,9.2,9.8,1.6,3.2,1.6,1.6,1.2,3.1,8.6,1.6,4.6,3.1,7.8,14.2,1.3,6.3,5.1,7,13.4,20,3.8,9.6,1.2,3.4,3.7,4.7,5.4,1.6,7.1,4.6,8.9,12,8.5,15.2,18.8,2.1,0.98,2.1,0.98,0.98,0.98,8.2,6,0.98,4,0.98,3.94,1.16,1.18,1.3,0.98,1
3.8,4.3,14.7,6.4,28,26,4.3,8.8,4.4,5.2,3.3,8.7,35.5,4.2,11.7,5.1,23.1,47.7,3.8,15.4,14.8,15.9,39.5,42.5,9.5,22.1,2.7,9,16.3,12.4,24.4,7.2,38.8,17.1,24.4,45.9,27.5,48.6,47,7.1,3.4,11.1,3,3.9,2.3,34.4,22.4,3.8,19,3.4,19.1,5,4.6,4.8,2.8,3.7
2.7,2.6,10.2,3.2,15.4,17.9,2.9,8.2,3,3.1,2.2,6.1,27.1,2.6,7.5,4.4,14.2,39.2,2.86,11.9,8.3,11.6,21.5,35.6,7,15.1,1.7,7.7,11.1,9.4,20.9,5.4,27.6,13.3,18.5,39.2,19.6,44.4,37.6,5.5,2.3,8.5,2.7,3.3,1.8,26.7,15.7,3.2,14.9,3,18.2,3.8,3.8,4.6,2.2,3.5
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.2,1.3,1.3,1.3,1.4,3.9,1.3,1.5,1.3,1.3,2.8,4.8,1.3,1.7,1.3,1.3,1.9,1.6,3,1.3,3.4,2.2,3.4,6.3,4,6.7,8.1,1.3,1.3,1.6,1.3,1.3,1.3,5,5.7,1.3,2.3,1.3,2.4,1.3,1.3,1.3,1.3,1.3
1.8,2,7.8,3.1,10.9,13.4,2.6,5.6,2.2,1.8,1.6,3.8,14.2,1.8,5.9,3.5,9.3,14.7,2.3,9.7,6.2,8.7,20.4,27.7,4.9,15,1.5,3.6,4.6,6.7,8.5,1.7,6.1,5.8,11.7,16.1,15.3,19.2,27.4,3,0.81,2.7,0.63,0.61,0.87,10,5,0.97,4.8,0.69,7.4,2.1,1.4,1.6,0.76,1.6
1.4,1.3,5.8,2.4,8.6,7.9,1.6,3.4,1.4,2.5,1.2,3.2,12.8,1.4,3.9,2.9,8.3,14.9,1.8,12.5,9.8,7.3,32.3,49.7,2.8,18.7,2.1,11.6,10.9,12.3,20.7,3.7,16.6,14.1,25.8,39.7,42.6,47.6,78.1,11.2,3.1,11,2,1.6,3,39.1,16.9,2.7,13.8,1.6,20.4,6.3,4.6,5,2.3,3.3
1.5,2,7.6,3.3,15.6,13,2.5,5,2.4,2.5,1.8,5.2,14.7,2.4,6,4.3,10.7,18.2,2.6,7.1,5.9,7.3,21.2,24.5,5.1,12.9,1.5,3.5,6.5,5.5,9.2,3.1,13.5,7.3,10.4,20,12.5,27.8,26.4,3.1,1,4.7,1.2,1.4,0.88,11.8,10.5,1,6.6,1.3,7.7,1.9,1.7,2.1,1.2,1.4
2.4,3.2,11,4.4,15.7,18.9,3.2,7.5,2.9,3,2.6,5,24.5,3,8.1,3.7,16.6,32.2,2.4,13.1,10.3,10,25.7,36.7,6.1,17.5,1.6,5.3,12,8.2,17.2,4.3,23,10.3,17.3,31.8,16.7,37.5,29.3,5.2,2,6.2,1.9,2.2,1.6,16.8,10,2.5,9.7,2.3,15.2,2.9,2.5,3.4,1.7,2.9
1.1,1.3,4,1.7,7.1,8.1,1.2,2.9,1.4,2.1,1.1,2.8,10.7,1.1,3.4,2.6,6.9,13.7,1.4,13.4,7.8,6.4,27.4,46.8,2.6,18.6,1.2,9.8,12.5,14.3,21.9,4.3,14.7,16.7,27.6,36.9,39,56.4,78.1,9.7,3.3,8.7,2.1,1.5,2.7,34.4,26.1,2.3,12.5,2.1,20.3,7.2,5.2,3.5,2.2,3
1.5,2.2,5.2,2.8,11.3,12.1,2.1,4.9,1.8,1.8,1.5,4.5,13.8,1.7,4.9,3.3,10.7,25.3,1.7,8.7,7.6,8.7,16.8,25.1,3.9,11.1,1.2,4.6,8.3,6.1,11.5,3,14.5,9.8,10.3,17.3,13.8,27.1,20.9,4.4,1.2,6.4,1.3,1.8,1.2,15.4,9.2,1.6,7.9,1.6,10.6,1.9,2,2.5,1.4,1.9
1.9,2.9,8.7,4.2,14.8,16.3,2.3,6.7,2.5,2.8,1.9,6,19.5,2.9,6.4,3.9,13.6,20.5,2.6,12.9,9.9,10.6,27.6,42.8,5.1,15.5,1.7,6.6,8.7,12.2,16.3,3.3,12.6,12.1,17.8,29.1,23.7,35.4,44.9,5.6,2,5.2,1.5,1.6,1.6,21.7,13.2,1.9,9.3,1.5,14.1,3.4,2.8,3.6,1.4,2.9
1.1,1.1,1.4,1.1,2.3,2.6,1.1,1.1,1.1,1.1,1.1,1.1,2.4,1.1,1.2,1.1,1.9,2.4,1.1,2.2,1.9,1.6,4.6,5.4,1.1,2.8,1.1,1.1,1.1,1.6,2.3,1.1,1.6,1.7,3,3.5,3.1,5.2,5.6,1.1,1.1,1.1,1.1,1.1,1.1,2.6,6,1.1,1.2,1.1,1.6,1.1,1.1,1.1,1.1,1.1
0.6,0.76,3.1,1.1,4.2,4.4,0.65,2.02,0.85,1.1,0.61,1.7,8.8,0.92,2.4,1.5,4.4,15.4,0.84,8.6,5.1,4,14.3,35.1,1.5,12.5,0.83,6.04,8.22,10.74,14.49,3.84,14.25,11.2,17.9,29.7,30.5,43.3,55.3,7.2,2.5,6.5,2,1.7,2.2,26.5,13.8,2.5,11.1,1.6,15,4.7,3.8,3.3,1.7,2.6
1.7,2.4,8.8,3.8,13.9,14.8,2.3,4.9,2.4,2.1,1.9,3.9,15,2.3,6.2,3.3,9.3,15.7,2.3,12.1,9.4,8.8,24.8,36.7,4.9,19.1,1.4,6.6,6.9,9.9,11.4,2.4,11.7,10.5,21.2,19.5,22.5,31.7,40.6,5.6,1.3,5.5,0.96,1.1,1.4,16.2,8.6,1.6,5.7,0.9,9.8,3.2,2.4,2.7,1.2,1.5
3.5,3.6,12.8,3.9,15.9,15.6,2.9,6.9,3.4,3.8,1.9,6.5,45.1,3.3,8,5.8,25.5,96,3.7,16.3,8.3,18.5,28.1,66.5,6.9,28.1,1.7,19.3,42.8,23.4,65.3,20,106.9,45.5,57.5,115.2,51.1,128.4,126.1,25.1,8.8,39,8.1,7,7.1,103.7,57.6,10,62.8,9.7,59.6,13.9,10.7,11.6,8.5,11.1
1.8,2.1,8,2.6,10.8,11.6,2.2,4.7,2,2.3,1.4,3.8,15.8,2.1,4.7,3.5,10.7,28.9,2.3,8,6.4,7.8,20.3,24.6,4.5,15.7,1.1,5.2,8.1,5.9,13.1,3.9,19.1,10.6,11.7,25.9,15.2,32.5,27.5,4.4,1.8,8.1,2,1.7,1.5,18.7,12.1,1.9,11.5,2.2,11,2.4,2.8,3.4,1.8,2.4
